total_rank,snatch_rank,cleanjerk_rank,name,athlete_id,date_of_birth,age,gender,nation,group,bw,category,dq,old_classes,event_id,event,date,snatch_lift1,snatch_lift2,snatch_lift3,snatch_best,cleanjerk_lift1,cleanjerk_lift2,cleanjerk_lift3,cleanjerk_best,total
2,2,2,KARAPETYAN Tigran,7784,2005-07-18,18,M,ARM,A,66.85,67 kg Men,0,0,579,European Junior Championships,2023-07-24,118,121,123,123,152,-157,-157,152,275
3,5,3,PIETRZAK Hubert,12880,2005-04-15,18.3,M,POL,A,67,67 kg Men,0,0,579,European Junior Championships,2023-07-24,113,117,-120,117,140,145,-152,145,262
4,3,4,WIATROWICZ Marcin Fabian,17331,2003-04-29,20.2,M,POL,A,66.7,67 kg Men,0,0,579,European Junior Championships,2023-07-24,115,119,121,121,135,140,-143,140,261
5,4,5,DIACONU Iulian Mihai,4189,2005-02-01,18.5,M,ROU,A,66.6,67 kg Men,0,0,579,European Junior Championships,2023-07-24,116,120,-122,120,-136,136,-141,136,256
6,6,6,RRASA Samoel,14063,2007-12-28,15.6,M,ALB,A,67,67 kg Men,0,0,579,European Junior Championships,2023-07-24,110,-117,117,117,130,-133,133,133,250
7,7,7,VIITASAARI Joona Juhani,17022,2004-10-29,18.7,M,FIN,A,65.45,67 kg Men,0,0,579,European Junior Championships,2023-07-24,99,103,-105,103,124,129,132,132,235
8,8,8,JIGAU Daniel Nicolae,7410,2005-06-16,18.1,M,ROU,A,61.85,67 kg Men,0,0,579,European Junior Championships,2023-07-24,85,91,96,96,115,121,-125,121,217
1,3,1,DOLEGA Martyna,4334,2005-05-13,18.2,W,POL,A,70.8,71 kg Women,0,0,579,European Junior Championships,2023-07-24,-95,-95,95,95,113,119,121,121,216
2,2,2,YLISOINI Anna Janette Tellervo,17717,2006-04-06,17.3,W,FIN,A,70.75,71 kg Women,0,0,579,European Junior Championships,2023-07-24,-96,-96,96,96,116,119,-121,119,215
3,1,4,MARACH Monika,10088,2004-04-16,19.3,W,POL,A,69.75,71 kg Women,0,0,579,European Junior Championships,2023-07-24,98,-100,-101,98,115,-118,NA,115,213
4,4,3,LUOSTARINEN Aino Enni Inkeri,9729,2003-05-15,20.2,W,FIN,A,67.2,71 kg Women,0,0,579,European Junior Championships,2023-07-24,85,89,-92,89,108,112,116,116,205
5,5,5,SUKIASYAN Alina,15718,2006-01-04,17.6,W,ARM,A,69.7,71 kg Women,0,0,579,European Junior Championships,2023-07-24,83,86,-89,86,100,-104,104,104,190
6,7,6,SZALAI Lili,15838,2004-04-11,19.3,W,HUN,A,67.55,71 kg Women,0,0,579,European Junior Championships,2023-07-24,80,-84,84,84,100,103,-105,103,187
7,6,8,RUIZ ESPINO Erika,14103,2005-03-11,18.4,W,ESP,A,70.65,71 kg Women,0,0,579,European Junior Championships,2023-07-24,79,82,84,84,99,-103,-104,99,183
8,8,7,FRIEL Erin,5263,2004-12-15,18.6,W,GBR,A,70.4,71 kg Women,0,0,579,European Junior Championships,2023-07-24,-82,-82,82,82,-101,101,-104,101,183
9,9,9,SVRCKOVA Laura,15809,2005-09-03,17.9,W,SVK,A,69.95,71 kg Women,0,0,579,European Junior Championships,2023-07-24,73,-76,76,76,-95,95,-99,95,171
1,1,4,DONOSE Tiberiu Ionut,4375,2005-05-12,18.2,M,ROU,A,72.85,73 kg Men,0,0,579,European Junior Championships,2023-07-24,-141,141,146,146,164,170,-172,170,316
2,2,2,SAHAKYAN Gor,14246,2003-09-01,19.9,M,ARM,A,69.8,73 kg Men,0,0,579,European Junior Championships,2023-07-24,140,-143,-143,140,171,-177,-177,171,311
3,5,1,POGHOSYAN Martin,12979,2005-07-30,18,M,ARM,A,72.6,73 kg Men,0,0,579,European Junior Championships,2023-07-24,130,-135,136,136,165,170,172,172,308
4,3,6,JAMALI BOULAAYOUN Ismail,7226,2003-02-12,20.4,M,ESP,A,72.9,73 kg Men,0,0,579,European Junior Championships,2023-07-24,136,138,140,140,165,-169,-170,165,305
